Customer_ID,Last_Purchase_Date,Days_Since_Last_Purchase,Churn,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Total_Revenue,Avg_Order_Value,Total_Orders,Avg_Basket_Size,Monthly_Spend,CLV,Repeat_Purchase_Rate,Weekend_Ratio,Quarterly_Spend,Customer_Age,Loyalty_Score,Gender_Female,Gender_Male,Gender_Other,Country_Australia,Country_Canada,Country_France,Country_Germany,Country_India,Country_UAE,Country_UK,Country_USA,Preferred_Category_Beauty,Preferred_Category_Books,Preferred_Category_Clothing,Preferred_Category_Electronics,Preferred_Category_Grocery,Preferred_Category_Home & Kitchen,Preferred_Category_Sports,Preferred_Category_Toys,Preferred_Payment_COD,Preferred_Payment_Credit Card,Preferred_Payment_Debit Card,Preferred_Payment_Net Banking,Preferred_Payment_UPI,Preferred_Payment_Wallet,Cluster,Segment,PCA1,PCA2
C00011,2024-09-01,121,1,121,4,11207.68,2,2,3,7,11207.68,2801.92,4,6.25,688.9967213114754,933.9733333333334,1,0.5,,28.0,4.8,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,2,At-Risk Customers,-1.110908889279454,0.42494081838178116
C00012,2024-12-31,0,0,0,10,23730.94,5,3,4,12,23730.94,2373.094,10,5.5,8789.237037037035,1977.5783333333331,1,0.3,23730.94,28.0,3.9,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,4,Loyal Customers,0.6048417785730207,-0.052258130942333496
C00013,2023-10-22,436,1,436,1,2681.46,1,1,1,3,2681.46,2681.46,1,6.0,184.50412844036697,223.455,0,1.0,,41.0,1.6,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0,Lost Customers,-2.9919511282423943,-1.178148639727334
C00014,2024-09-17,105,1,105,5,8556.71,2,2,2,6,8556.71,1711.342,5,5.0,495.56235521235527,713.0591666666667,1,0.4,,53.0,2.4,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,3,New Customers,-1.1929619800118887,-0.7720463446151509
C00015,2024-12-29,2,0,2,18,41160.7326,5,5,5,15,41160.7326,2286.707366666667,18,4.833333333333333,14032.067931818185,3430.0610500000003,1,0.2777777777777778,41160.7326,57.0,6.0,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,1,VIP Customers,2.4413111084934624,0.9535368088684414
C00016,2024-07-12,172,1,172,4,8154.52,2,2,2,6,8154.52,2038.63,4,5.25,482.515976331361,679.5433333333333,1,0.25,,41.0,4.3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,3,New Customers,-1.4970149869516616,0.17791813004584225
C00017,2024-12-29,2,0,2,21,41020.39,5,5,5,15,41020.39,1953.3519047619047,21,4.857142857142857,14144.962068965517,3418.3658333333333,1,0.3809523809523809,41020.39,20.0,6.6,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,1,VIP Customers,2.660220272244516,1.2521637536221484
C00018,2024-12-28,3,0,3,6,10262.26,4,3,2,9,10262.26,1710.3766666666668,6,5.0,4160.375675675676,855.1883333333334,1,0.3333333333333333,10262.26,39.0,1.4,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,3,New Customers,-0.6746675472904781,-1.2714543195418715
C00019,2024-07-30,154,1,154,5,11561.79,2,2,3,7,11561.79,2312.358,5,7.8,750.7655844155845,963.4825,1,0.2,,19.0,4.2,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,3,New Customers,-1.1246427834460857,0.12026310417670764
C00020,2024-09-22,100,1,100,4,6277.93,2,2,2,6,6277.93,1569.4825,4,6.25,385.1490797546013,523.1608333333334,1,0.25,,41.0,2.3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,3,New Customers,-1.4125935623754529,-0.8157499161648053
C00021,2024-12-28,3,0,3,6,8474.57,4,3,2,9,8474.57,1412.4283333333333,6,4.833333333333333,3218.1911392405063,706.2141666666666,1,0.6666666666666666,8474.57,61.0,6.3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2,At-Risk Customers,-0.7559808151052223,1.1894607230501768
C00022,2024-12-29,2,0,2,20,29272.24,5,5,4,14,29272.24,1463.612,20,5.15,10211.246511627904,2439.353333333333,1,0.35,29272.24,47.0,2.9,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,4,Loyal Customers,1.724137528863018,-0.5749963805326977
C00023,2024-12-26,5,0,5,20,41237.72,4,5,5,14,41237.72,2061.886,20,5.1,14905.2,3436.476666666667,1,0.2,41237.72,55.0,0.5,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,VIP Customers,2.5356979577472107,-1.8061441819914539
C00024,2024-12-20,11,0,11,21,46832.1826,3,5,5,13,46832.1826,2230.1039333333333,21,5.571428571428571,16149.028482758622,3902.681883333333,1,0.4285714285714285,46832.1826,19.0,4.4,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,1,VIP Customers,3.020368926749078,0.13510235672940749
C00025,2024-12-31,0,0,0,7,9642.5478,5,3,2,10,9642.5478,1377.5068285714283,7,4.857142857142857,3909.141,803.54565,1,0.1428571428571428,9642.5478,38.0,4.5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,2,At-Risk Customers,-0.605849522799022,0.2836267587125429
C00026,2024-12-24,7,0,7,3,2294.42,3,1,1,5,2294.42,764.8066666666667,3,3.333333333333333,1966.645714285714,191.20166666666668,1,0.0,2294.42,50.0,8.4,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,2,At-Risk Customers,-1.408741969322913,2.258900972345617
C00027,2024-12-27,4,0,4,20,37538.28,4,5,5,14,37538.28,1876.914,20,4.8,13903.066666666666,3128.19,1,0.35,37538.28,29.0,4.7,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1,VIP Customers,2.316542013252054,0.30828102541254127
C00028,2024-08-20,133,1,133,2,4185.63,2,1,1,4,4185.63,2092.815,2,5.5,267.1678723404256,348.8025,1,0.0,,39.0,0.8,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,3,New Customers,-1.8302639105485479,-1.5634981904435243
C00029,2024-12-25,6,0,6,7,16778.7526,4,3,3,10,16778.7526,2396.964657142857,7,5.428571428571429,6623.191815789474,1398.229383333333,1,0.1428571428571428,16778.7526,61.0,6.4,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,2,At-Risk Customers,-0.10520467707620251,1.2193861089110474
C00030,2024-12-18,13,0,13,5,5937.33,3,2,2,7,5937.33,1187.466,5,3.8,2919.998360655738,494.7775,1,0.2,5937.33,42.0,2.9,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,3,New Customers,-1.0728464431884774,-0.5092113226949302
C00031,2024-03-20,286,1,286,2,941.96,1,1,1,3,941.96,470.98,2,1.5,63.360538116591925,78.49666666666667,1,0.0,,66.0,2.2,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0,Lost Customers,-2.545249604369589,-0.8642066306220295
C00032,2024-12-28,3,0,3,11,33507.94,4,3,4,11,33507.94,3046.176363636364,11,6.2727272727272725,11423.161363636364,2792.3283333333334,1,0.2727272727272727,33507.94,44.0,5.0,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,4,Loyal Customers,1.3685255966164311,0.4756522758319571
C00033,2024-10-02,90,1,90,3,10448.27,2,1,2,5,10448.27,3482.7566666666667,3,5.333333333333333,595.9089353612167,870.6891666666667,1,0.0,5840.0,59.0,4.8,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,2,At-Risk Customers,-1.1377316654085028,0.42959057070481776
C00034,2024-12-30,1,0,1,20,53888.0026,5,5,5,15,53888.0026,2694.40013,20,4.95,19019.295035294115,4490.666883333333,1,0.4,53888.0026,45.0,3.1,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1,VIP Customers,3.4639345954779306,-0.5314828346872653
C00035,2024-12-30,1,0,1,22,42217.2078,5,5,5,15,42217.2078,1918.963990909091,22,4.727272727272728,14392.22993181818,3518.1006500000003,1,0.2727272727272727,42217.2078,33.0,2.7,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,VIP Customers,2.786715528058715,-0.7067783733887124
C00036,2024-10-27,65,0,65,3,12643.002599999998,2,1,3,6,12643.002599999998,4214.334199999999,3,7.666666666666667,4741.125975,1053.5835499999998,1,0.6666666666666666,12643.002599999998,32.0,1.9,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,3,New Customers,-0.9279392765876384,-1.027837374691685
C00037,2024-12-31,0,0,0,16,41041.1226,5,4,5,14,41041.1226,2565.0701625,16,4.875,14316.670674418605,3420.09355,1,0.1875,41041.1226,64.0,6.7,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1,VIP Customers,2.296901627726506,1.3066006280030336
C00038,2024-12-27,4,0,4,12,18121.58,4,4,3,11,18121.58,1510.131666666667,12,4.416666666666667,6471.992857142858,1510.131666666667,1,0.1666666666666666,18121.58,68.0,2.4,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,4,Loyal Customers,0.3317040310136801,-0.7933363508949878
C00039,2024-12-30,1,0,1,18,28455.1,5,5,4,14,28455.1,1580.8388888888887,18,4.444444444444445,11535.851351351348,2371.258333333333,1,0.3888888888888889,28455.1,61.0,6.3,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1,VIP Customers,1.5519225288264449,1.1333518005364338
C00040,2024-12-31,0,0,0,24,48342.66,5,5,5,15,48342.66,2014.2775,24,5.25,16669.88275862069,4028.555,1,0.5416666666666666,48342.66,69.0,6.3,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,1,VIP Customers,3.4033520982518923,1.0824477160103112
C00041,2024-12-30,1,0,1,14,26606.05,5,4,4,13,26606.05,1900.4321428571427,14,5.357142857142857,12873.89516129032,2217.170833333333,1,0.0714285714285714,26606.05,20.0,5.5,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,4,Loyal Customers,1.1165513069396866,0.7398834007082641
C00042,2024-12-24,7,0,7,5,18014.3,3,2,3,8,18014.3,3602.86,5,6.0,6671.962962962963,1501.1916666666666,1,0.0,18014.3,54.0,2.4,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,3,New Customers,-0.20674643491313285,-0.7873882358308133
C00043,2024-09-20,102,1,102,2,6729.669999999999,2,1,2,5,6729.669999999999,3364.835,2,5.0,1009.4504999999998,560.8058333333332,1,0.0,,68.0,3.1,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,3,New Customers,-1.5288774933318336,-0.41413163406665593
C00044,2024-09-24,98,1,98,4,13179.09,2,2,3,7,13179.09,3294.7725,4,6.25,928.1049295774648,1098.2575,1,0.0,,24.0,5.7,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2,At-Risk Customers,-0.8887388527226088,0.8731599968986532
C00045,2024-09-17,105,1,105,3,2069.1800000000003,2,1,1,4,2069.1800000000003,689.7266666666668,3,3.333333333333333,132.35692963752663,172.4316666666667,1,0.0,,38.0,0.9,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,3,New Customers,-1.8127087973423481,-1.507461185030534
C00046,2024-06-27,187,1,187,5,10383.67,1,2,2,5,10383.67,2076.734,5,5.8,585.5453007518797,865.3058333333333,1,0.0,,26.0,0.7,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,3,New Customers,-1.3472347774006987,-1.634051748163821
C00047,2024-12-31,0,0,0,18,44138.96,5,5,5,15,44138.96,2452.1644444444446,18,5.722222222222222,15397.311627906978,3678.246666666667,1,0.3888888888888889,44138.96,56.0,1.7,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,1,VIP Customers,2.6185179574223127,-1.2091631286642601
C00048,2024-12-15,16,0,16,19,32741.87,3,5,4,12,32741.87,1723.2563157894735,19,4.947368421052632,11421.582558139537,2728.4891666666663,1,0.3157894736842105,32741.87,35.0,5.6,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1,VIP Customers,1.8731426386891306,0.7706488483935607
C00049,2024-05-08,237,1,237,5,18397.14,1,2,3,6,18397.14,3679.428,5,6.6,1159.483613445378,1533.095,1,0.2,,21.0,8.3,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2,At-Risk Customers,-0.8763565926171191,2.1546633099854477
C00050,2024-12-29,2,0,2,7,17154.9426,5,3,3,11,17154.9426,2450.7060857142856,7,5.857142857142857,6861.97704,1429.57855,1,0.1428571428571428,17154.9426,42.0,4.9,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,2,At-Risk Customers,-0.07931789723153888,0.46670469970141965
C00051,2024-12-28,3,0,3,24,55446.97,4,5,5,14,55446.97,2310.2904166666667,24,5.166666666666667,18902.37613636364,4620.580833333333,1,0.2916666666666667,55446.97,31.0,7.6,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,1,VIP Customers,3.9060671903739075,1.7176482885508972
C00052,2024-12-28,3,0,3,13,36683.177800000005,4,4,5,13,36683.177800000005,2821.782907692308,13,5.461538461538462,12505.628795454548,3056.9314833333337,1,0.3846153846153846,36683.177800000005,67.0,4.3,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,1,VIP Customers,1.73479494633065,0.11566651156466355
C00053,2024-12-30,1,0,1,24,46587.7704,5,5,5,15,46587.7704,1941.1571,24,4.25,17254.729777777775,3882.3142,1,0.125,46587.7704,26.0,6.3,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,1,VIP Customers,3.2764197831479813,1.0864329322410773
C00054,2024-12-07,24,0,24,7,11327.04,2,3,3,8,11327.04,1618.1485714285716,7,5.142857142857143,3951.2930232558138,943.9200000000002,1,0.7142857142857143,11327.04,43.0,2.8,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,3,New Customers,-0.580937635058362,-0.5742071759351929
C00055,2024-09-06,116,1,116,5,8098.030000000001,2,2,2,6,8098.030000000001,1619.6060000000002,5,5.4,467.1940384615385,674.8358333333334,1,0.2,,19.0,5.6,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,2,At-Risk Customers,-1.232002334542146,0.832716718518607
C00056,2024-03-16,290,1,290,2,1969.2,1,1,1,3,1969.2,984.6,2,2.0,132.457399103139,164.1,1,0.5,,37.0,5.5,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,0,Lost Customers,-2.455825800291564,0.7877282127579921
C00057,2024-12-21,10,0,10,20,31732.9678,3,5,4,12,31732.9678,1586.6483899999998,20,5.25,11069.639930232555,2644.4139833333334,1,0.3,31732.9678,45.0,3.1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,1,VIP Customers,1.8732721141979254,-0.4809303505370882
C00058,2024-12-24,7,0,7,19,39039.57,3,5,5,13,39039.57,2054.714210526316,19,4.7368421052631575,13778.67176470588,3253.2975,1,0.2631578947368421,39039.57,64.0,2.3,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1,VIP Customers,2.316231308563932,-0.8978656353475533
C00059,2024-12-30,1,0,1,14,21932.22,5,4,4,13,21932.22,1566.587142857143,14,4.857142857142857,8435.469230769231,1827.685,1,0.2142857142857142,21932.22,24.0,3.9,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,4,Loyal Customers,0.7725936927751891,-0.05154269235540386
C00060,2024-12-28,3,0,3,18,30875.74,4,5,4,13,30875.74,1715.318888888889,18,4.388888888888889,13424.234782608695,2572.978333333333,1,0.4444444444444444,30875.74,61.0,0.9,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,4,Loyal Customers,1.6667578246539712,-1.5798496567098215
C00061,2024-01-26,340,1,340,1,2067.84,1,1,1,3,2067.84,2067.84,1,8.0,182.4564705882353,172.32,0,0.0,,25.0,3.6,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0,Lost Customers,-2.7037626730904676,-0.16760134568298446
C00062,2024-12-24,7,0,7,8,20940.6326,3,3,3,9,20940.6326,2617.579075,8,4.625,10647.779288135593,1745.0527166666666,1,0.5,20940.6326,64.0,5.9,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,2,At-Risk Customers,0.25471233127701226,0.9581760559301656
C00063,2024-05-06,239,1,239,1,85.61,1,1,1,3,85.61,85.61,1,1.0,10.746025104602513,7.134166666666666,0,0.0,,52.0,7.9,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,2,At-Risk Customers,-2.4747432083352776,1.9996230106702926
C00064,2024-12-31,0,0,0,5,8963.36,5,2,2,9,8963.36,1792.672,5,4.8,4337.109677419355,746.9466666666667,1,0.4,8963.36,31.0,2.6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,3,New Customers,-0.8199197292946715,-0.6657517579605615
C00065,2024-12-27,4,0,4,17,35264.15,4,4,5,13,35264.15,2074.3617647058823,17,5.176470588235294,12160.051724137931,2938.679166666667,1,0.3529411764705882,35264.15,34.0,6.4,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1,VIP Customers,1.9484478150283047,1.1684144433623815
C00066,2023-11-29,398,1,398,1,2254.24,1,1,1,3,2254.24,2254.24,1,8.0,169.91758793969848,187.8533333333333,0,0.0,,53.0,0.9,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0,Lost Customers,-2.904464394099263,-1.525614483546776
C00067,2023-12-12,385,1,385,2,6704.25,1,1,2,4,6704.25,3352.125,2,7.0,422.5367647058823,558.6875,1,0.0,,67.0,7.9,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,0,Lost Customers,-2.41019804233601,1.9738273454428523
C00068,2024-08-04,149,1,149,3,2898.44,2,1,1,4,2898.44,966.1466666666666,3,5.333333333333333,165.62514285714286,241.53666666666663,1,0.6666666666666666,,57.0,2.5,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,3,New Customers,-1.883233766768594,-0.7100742783004415
C00069,2024-03-28,278,1,278,3,5379.167799999999,1,1,1,3,5379.167799999999,1793.055933333333,3,3.333333333333333,312.1373965183752,448.2639833333333,1,0.0,,21.0,5.6,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,0,Lost Customers,-2.1010152530022728,0.8299465077263997
C00070,2024-06-21,193,1,193,4,7695.59,1,2,2,5,7695.59,1923.8975,4,5.0,685.0673590504452,641.2991666666667,1,0.25,,19.0,1.7,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,3,New Customers,-1.6215702780772545,-1.126015337433423
C00071,2024-07-01,183,1,183,3,3231.51,1,1,1,3,3231.51,1077.1699999999998,3,4.666666666666667,235.8766423357664,269.2925,1,0.3333333333333333,,23.0,2.9,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,3,New Customers,-1.9670402041760569,-0.5125416515670947
C00072,2024-09-26,96,1,96,3,4624.76,2,1,1,4,4624.76,1541.5866666666668,3,6.0,296.4589743589744,385.3966666666667,1,0.0,,59.0,3.9,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,3,New Customers,-1.5759028420258976,-0.008609099613999478
C00073,2024-12-30,1,0,1,13,24410.34,5,4,4,13,24410.34,1877.7184615384613,13,4.307692307692308,8321.70681818182,2034.195,1,0.1538461538461538,24410.34,21.0,4.1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,4,Loyal Customers,0.8746106239463578,0.043855934557953655
C00074,2024-12-26,5,0,5,12,39696.7226,4,4,5,13,39696.7226,3308.0602166666667,12,5.833333333333333,14177.40092857143,3308.0602166666667,1,0.5833333333333334,39696.7226,46.0,4.6,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,1,VIP Customers,1.8689307088410785,0.2598350429753269
C00075,2024-12-29,2,0,2,18,25519.05,5,5,4,14,25519.05,1417.725,18,4.277777777777778,9006.723529411765,2126.5875,1,0.2777777777777778,25519.05,35.0,4.6,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,4,Loyal Customers,1.3262549098753196,0.2877089621985415
C00076,2024-12-30,1,0,1,17,50632.9126,5,4,5,14,50632.9126,2978.406623529412,17,5.882352941176471,18301.052746987956,4219.409383333334,1,0.2941176470588235,50632.9126,43.0,3.1,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,1,VIP Customers,3.0112135295061817,-0.5214396686760064
C00077,2024-08-09,144,1,144,4,5285.22,2,2,1,5,5285.22,1321.305,4,4.5,484.88256880733945,440.435,1,0.25,,61.0,2.2,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,3,New Customers,-1.627012692940722,-0.8665116438236834
C00078,2024-12-29,2,0,2,18,44478.7926,5,5,5,15,44478.7926,2471.0440333333336,18,5.944444444444445,15337.51468965517,3706.56605,1,0.3888888888888889,44478.7926,51.0,1.2,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,1,VIP Customers,2.6313835426534227,-1.4607728309274892
C00079,2024-12-27,4,0,4,8,15124.14,4,3,3,10,15124.14,1890.5175,8,6.25,6215.4000000000015,1260.3449999999998,1,0.5,15124.14,27.0,8.6,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,2,At-Risk Customers,-0.12078453546521224,2.3255434354161837
